stat rdma operate:
phase:3000
Type:rdma_send, src_node:1344, src_port:0, dst_node:1345, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1352, src_port:0, dst_node:1353, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1353, src_port:0, dst_node:1354, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1354, src_port:0, dst_node:1355, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1355, src_port:0, dst_node:1356, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1356, src_port:0, dst_node:1357, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1357, src_port:0, dst_node:1358, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1358, src_port:0, dst_node:1359, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1359, src_port:0, dst_node:1344, dst_port:0, priority:0, msg_len:33554432
phase:3000
Type:rdma_send, src_node:1344, src_port:0, dst_node:1345, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1345, src_port:0, dst_node:1346, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1346, src_port:0, dst_node:1347, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1347, src_port:0, dst_node:1348, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1348, src_port:0, dst_node:1349, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1349, src_port:0, dst_node:1350, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1350, src_port:0, dst_node:1351, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1351, src_port:0, dst_node:1352, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1352, src_port:0, dst_node:1353, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1353, src_port:0, dst_node:1354, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1354, src_port:0, dst_node:1355, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1355, src_port:0, dst_node:1356, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1356, src_port:0, dst_node:1357, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1357, src_port:0, dst_node:1358, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1358, src_port:0, dst_node:1359, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1359, src_port:0, dst_node:1344, dst_port:0, priority:0, msg_len:33554432
phase:3000
Type:rdma_send, src_node:1344, src_port:0, dst_node:1345, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1345, src_port:0, dst_node:1346, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1346, src_port:0, dst_node:1347, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1347, src_port:0, dst_node:1348, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1348, src_port:0, dst_node:1349, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1349, src_port:0, dst_node:1350, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1350, src_port:0, dst_node:1351, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1351, src_port:0, dst_node:1352, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1352, src_port:0, dst_node:1353, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1353, src_port:0, dst_node:1354, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1354, src_port:0, dst_node:1355, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1355, src_port:0, dst_node:1356, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1356, src_port:0, dst_node:1357, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1357, src_port:0, dst_node:1358, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1358, src_port:0, dst_node:1359, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1359, src_port:0, dst_node:1344, dst_port:0, priority:0, msg_len:33554432
phase:3000
Type:rdma_send, src_node:1344, src_port:0, dst_node:1345, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1345, src_port:0, dst_node:1346, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1346, src_port:0, dst_node:1347, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1347, src_port:0, dst_node:1348, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1348, src_port:0, dst_node:1349, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1349, src_port:0, dst_node:1350, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1350, src_port:0, dst_node:1351, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1351, src_port:0, dst_node:1352, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1352, src_port:0, dst_node:1353, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1353, src_port:0, dst_node:1354, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1354, src_port:0, dst_node:1355, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1355, src_port:0, dst_node:1356, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1356, src_port:0, dst_node:1357, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1357, src_port:0, dst_node:1358, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1358, src_port:0, dst_node:1359, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1359, src_port:0, dst_node:1344, dst_port:0, priority:0, msg_len:33554432
phase:3000
Type:rdma_send, src_node:1344, src_port:0, dst_node:1345, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1345, src_port:0, dst_node:1346, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1346, src_port:0, dst_node:1347, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1347, src_port:0, dst_node:1348, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1348, src_port:0, dst_node:1349, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1349, src_port:0, dst_node:1350, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1350, src_port:0, dst_node:1351, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1351, src_port:0, dst_node:1352, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1352, src_port:0, dst_node:1353, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1353, src_port:0, dst_node:1354, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1354, src_port:0, dst_node:1355, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1355, src_port:0, dst_node:1356, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1356, src_port:0, dst_node:1357, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1357, src_port:0, dst_node:1358, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1358, src_port:0, dst_node:1359, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1359, src_port:0, dst_node:1344, dst_port:0, priority:0, msg_len:33554432
phase:3000
Type:rdma_send, src_node:1344, src_port:0, dst_node:1345, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1345, src_port:0, dst_node:1346, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1346, src_port:0, dst_node:1347, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1347, src_port:0, dst_node:1348, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1348, src_port:0, dst_node:1349, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1349, src_port:0, dst_node:1350, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1350, src_port:0, dst_node:1351, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1351, src_port:0, dst_node:1352, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1352, src_port:0, dst_node:1353, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1353, src_port:0, dst_node:1354, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1354, src_port:0, dst_node:1355, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1355, src_port:0, dst_node:1356, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1356, src_port:0, dst_node:1357, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1357, src_port:0, dst_node:1358, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1358, src_port:0, dst_node:1359, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1359, src_port:0, dst_node:1344, dst_port:0, priority:0, msg_len:33554432
phase:3000
Type:rdma_send, src_node:1344, src_port:0, dst_node:1345, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1345, src_port:0, dst_node:1346, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1346, src_port:0, dst_node:1347, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1347, src_port:0, dst_node:1348, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1348, src_port:0, dst_node:1349, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1349, src_port:0, dst_node:1350, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1350, src_port:0, dst_node:1351, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1351, src_port:0, dst_node:1352, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1352, src_port:0, dst_node:1353, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1353, src_port:0, dst_node:1354, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1354, src_port:0, dst_node:1355, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1355, src_port:0, dst_node:1356, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1356, src_port:0, dst_node:1357, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1357, src_port:0, dst_node:1358, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1358, src_port:0, dst_node:1359, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1359, src_port:0, dst_node:1344, dst_port:0, priority:0, msg_len:33554432
phase:3000
Type:rdma_send, src_node:1344, src_port:0, dst_node:1345, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1345, src_port:0, dst_node:1346, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1346, src_port:0, dst_node:1347, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1347, src_port:0, dst_node:1348, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1348, src_port:0, dst_node:1349, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1349, src_port:0, dst_node:1350, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1350, src_port:0, dst_node:1351, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1351, src_port:0, dst_node:1352, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1352, src_port:0, dst_node:1353, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1353, src_port:0, dst_node:1354, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1354, src_port:0, dst_node:1355, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1355, src_port:0, dst_node:1356, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1356, src_port:0, dst_node:1357, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1357, src_port:0, dst_node:1358, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1358, src_port:0, dst_node:1359, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1359, src_port:0, dst_node:1344, dst_port:0, priority:0, msg_len:33554432
phase:3000
Type:rdma_send, src_node:1344, src_port:0, dst_node:1345, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1345, src_port:0, dst_node:1346, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1346, src_port:0, dst_node:1347, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1347, src_port:0, dst_node:1348, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1348, src_port:0, dst_node:1349, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1349, src_port:0, dst_node:1350, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1350, src_port:0, dst_node:1351, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1351, src_port:0, dst_node:1352, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1352, src_port:0, dst_node:1353, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1353, src_port:0, dst_node:1354, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1354, src_port:0, dst_node:1355, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1355, src_port:0, dst_node:1356, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1356, src_port:0, dst_node:1357, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1357, src_port:0, dst_node:1358, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1358, src_port:0, dst_node:1359, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1359, src_port:0, dst_node:1344, dst_port:0, priority:0, msg_len:33554432
phase:3000
Type:rdma_send, src_node:1344, src_port:0, dst_node:1345, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1345, src_port:0, dst_node:1346, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1346, src_port:0, dst_node:1347, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1347, src_port:0, dst_node:1348, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1348, src_port:0, dst_node:1349, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1349, src_port:0, dst_node:1350, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1350, src_port:0, dst_node:1351, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1351, src_port:0, dst_node:1352, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1352, src_port:0, dst_node:1353, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1353, src_port:0, dst_node:1354, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1354, src_port:0, dst_node:1355, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1355, src_port:0, dst_node:1356, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1356, src_port:0, dst_node:1357, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1357, src_port:0, dst_node:1358, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1358, src_port:0, dst_node:1359, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1359, src_port:0, dst_node:1344, dst_port:0, priority:0, msg_len:33554432
phase:3000
Type:rdma_send, src_node:1344, src_port:0, dst_node:1345, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1345, src_port:0, dst_node:1346, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1346, src_port:0, dst_node:1347, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1347, src_port:0, dst_node:1348, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1348, src_port:0, dst_node:1349, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1349, src_port:0, dst_node:1350, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1350, src_port:0, dst_node:1351, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1351, src_port:0, dst_node:1352, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1352, src_port:0, dst_node:1353, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1353, src_port:0, dst_node:1354, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1354, src_port:0, dst_node:1355, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1355, src_port:0, dst_node:1356, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1356, src_port:0, dst_node:1357, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1357, src_port:0, dst_node:1358, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1358, src_port:0, dst_node:1359, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:1359, src_port:0, dst_node:1344, dst_port:0, priority:0, msg_len:33554432
